Trash 4	Trash	A piece of trash to pick up.	1	1f8ef4d86a67842499d5c3b04adda77c&Square	DDB161FF
Trash 3	Trash	A piece of trash to pick up.	1	1f8ef4d86a67842499d5c3b04adda77c&Square	845A15FF
Trash 2	Trash	A piece of trash to pick up.	1	1f8ef4d86a67842499d5c3b04adda77c&Square	9C7636FF
Trash 1	Trash	A piece of trash to pick up.	1	1f8ef4d86a67842499d5c3b04adda77c&Square	9F6D14FF
Seed_Tree	Tree Seed	A small tree seed that can be planted.	1	5ce90fece511632498a1432a1cf6ef97&Circle	2A592AFF
Seed_Flower	Flower Seed	A small seed that can be planted.	1	5ce90fece511632498a1432a1cf6ef97&Circle	2BA638FF
Seed_Bush	Bush Seed	A small seed that can be planted.	1	5ce90fece511632498a1432a1cf6ef97&Circle	6BE585FF
Gem_Yellow	Yellow Gem	Should hold on to this. Not sure what it goes to though.	1	80896e82349a8ea46bbe9c8f7775cbba&Isometric Diamond	FBFF5AFF
Gem_Red	Red Gem	Should hold on to this. Not sure what it goes to though.	1	80896e82349a8ea46bbe9c8f7775cbba&Isometric Diamond	FF0000FF
Gem_Blue	Blue Gem	Should hold on to this. Not sure what it goes to though.	1	80896e82349a8ea46bbe9c8f7775cbba&Isometric Diamond	0075FFFF
Coin_Silver	Silver Coin	One small silver coin. Can I spend it?	1	5ce90fece511632498a1432a1cf6ef97&Circle	D6D6D6FF
Coin_Gold	Gold Coin	One small gold coin. Can I spend it?	1	5ce90fece511632498a1432a1cf6ef97&Circle	D6C334FF
